Aggregate tradeId,Price,Quantity,First tradeId,Last tradeId,Timestamp,Was the buyer the maker?,Was the trade the best price match?
176343476,0.03290500,0.59500000,197110324,197110324,2020-10-12 07:51:03.580,True,True
176343477,0.03290200,0.01000000,197110325,197110325,2020-10-12 07:51:05.318,True,True
176343478,0.03290500,0.02300000,197110326,197110326,2020-10-12 07:51:06.489,False,True
176343479,0.03290200,0.01400000,197110327,197110327,2020-10-12 07:51:08.498,True,True
176343480,0.03290400,2.46100000,197110328,197110332,2020-10-12 07:51:08.862,False,True
176343481,0.03290400,0.00400000,197110333,197110333,2020-10-12 07:51:11.119,True,True
176343482,0.03290400,0.08000000,197110334,197110334,2020-10-12 07:51:15.471,True,True
176343483,0.03290400,0.15000000,197110335,197110335,2020-10-12 07:51:17.893,True,True
176343484,0.03290400,1.02600000,197110336,197110336,2020-10-12 07:51:22.108,True,True
176343485,0.03290400,0.84100000,197110337,197110337,2020-10-12 07:51:26.434,True,True
176343486,0.03290400,18.75000000,197110338,197110338,2020-10-12 07:51:26.488,True,True
176343487,0.03290400,5.41100000,197110339,197110339,2020-10-12 07:51:26.503,True,True
176343488,0.03290100,0.11000000,197110340,197110341,2020-10-12 07:51:26.695,True,True
176343489,0.03290000,0.18200000,197110342,197110342,2020-10-12 07:51:26.710,True,True
176343490,0.03290000,0.03500000,197110343,197110343,2020-10-12 07:51:26.712,True,True
176343491,0.03289900,0.16400000,197110344,197110344,2020-10-12 07:51:26.712,True,True
176343492,0.03289900,0.00700000,197110345,197110345,2020-10-12 07:51:26.716,True,True
176343493,0.03289900,0.01100000,197110346,197110346,2020-10-12 07:51:26.751,True,True
176343494,0.03289600,0.00400000,197110347,197110347,2020-10-12 07:51:26.751,True,True
176343495,0.03289400,1.41900000,197110348,197110348,2020-10-12 07:51:26.751,True,True
176343496,0.03289200,0.15200000,197110349,197110349,2020-10-12 07:51:26.764,True,True
176343497,0.03289100,0.15600000,197110350,197110351,2020-10-12 07:51:26.764,True,True
176343498,0.03289000,1.65200000,197110352,197110352,2020-10-12 07:51:26.764,True,True
176343499,0.03289000,0.30800000,197110353,197110353,2020-10-12 07:51:26.772,True,True
176343500,0.03289200,0.45200000,197110354,197110354,2020-10-12 07:51:28.049,True,True
176343501,0.03289200,0.30400000,197110355,197110355,2020-10-12 07:51:28.250,True,True
176343502,0.03289500,0.74900000,197110356,197110356,2020-10-12 07:51:28.671,False,True
176343503,0.03289500,0.84100000,197110357,197110357,2020-10-12 07:51:29.573,True,True
176343504,0.03289600,0.30500000,197110358,197110359,2020-10-12 07:51:30.767,False,True
176343505,0.03289600,0.20800000,197110360,197110360,2020-10-12 07:51:30.830,True,True
176343506,0.03289500,0.09400000,197110361,197110361,2020-10-12 07:51:30.830,True,True
176343507,0.03289700,0.30100000,197110362,197110362,2020-10-12 07:51:33.826,True,True
176343508,0.03289700,0.10000000,197110363,197110363,2020-10-12 07:51:34.318,True,True
176343509,0.03289800,0.35300000,197110364,197110364,2020-10-12 07:51:36.062,False,True
176343510,0.03289700,0.05100000,197110365,197110365,2020-10-12 07:51:38.816,True,True
176343511,0.03289700,0.54800000,197110366,197110366,2020-10-12 07:51:39.212,True,True
176343512,0.03289600,2.71200000,197110367,197110367,2020-10-12 07:51:39.212,True,True
176343513,0.03289600,1.24800000,197110368,197110368,2020-10-12 07:51:42.970,True,True
176343514,0.03289500,1.25200000,197110369,197110369,2020-10-12 07:51:42.970,True,True
176343515,0.03289200,0.18200000,197110370,197110370,2020-10-12 07:51:43.223,True,True
176343516,0.03289100,0.00400000,197110371,197110371,2020-10-12 07:51:43.223,True,True
